gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory	eventType
979787701																										OBS241064759										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS241064759	OBS241064759		obsr206932		2											PRESENT																			2013-05-31T00:00:00				2013	5	31												EUROPE				GB	Scotland	Highland		Rothiemurchus									57.181225	-3.810824																																																	avibase-74FCC44D	Loxia scotica Hartert, 1904								Animalia	Chordata	Aves	Passeriformes	Fringillidae		Loxia	Loxia			scotica			SPECIES		Scottish Crossbill		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	GB	2023-01-24T14:58:22.687Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2494177	2494177	1	44	212	729	5242	2494150		2494177	Loxia scotica	Loxia scotica Hartert, 1904	Loxia scotica		DWC_ARCHIVE	2023-01-24T14:58:22.687Z	2022-03-02T17:41:33.833Z	false		GBR	United Kingdom	GBR.3_1	Scotland	GBR.3.17_1	Highland	GBR.3.17.1_1	Highland	LC	
978552557																										OBS233681617										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS233681617	OBS233681617		obsr113347		4											PRESENT																			1955-07-08T00:00:00				1955	7	8												EUROPE				GB	Scotland	Highland		Cairngorms NP--Craigmore Wood									57.277557	-3.637161																																																	avibase-74FCC44D	Loxia scotica Hartert, 1904								Animalia	Chordata	Aves	Passeriformes	Fringillidae		Loxia	Loxia			scotica			SPECIES		Scottish Crossbill		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	GB	2023-01-24T15:18:35.527Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2494177	2494177	1	44	212	729	5242	2494150		2494177	Loxia scotica	Loxia scotica Hartert, 1904	Loxia scotica		DWC_ARCHIVE	2023-01-24T15:18:35.527Z	2022-03-02T17:41:33.833Z	false		GBR	United Kingdom	GBR.3_1	Scotland	GBR.3.17_1	Highland	GBR.3.17.1_1	Highland	LC	
977779462																										OBS227814916										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS227814916	OBS227814916		obsr221472													PRESENT																			2008-06-04T00:00:00				2008	6	4												EUROPE				GB	Scotland	Highland		SCO, Nethy River Walks									57.263683	-3.642869																																																	avibase-74FCC44D	Loxia scotica Hartert, 1904								Animalia	Chordata	Aves	Passeriformes	Fringillidae		Loxia	Loxia			scotica			SPECIES		Scottish Crossbill		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	GB	2023-01-24T15:16:23.452Z								CONTINENT_DERIVED_FROM_COORDINATES		true	false	2494177	2494177	1	44	212	729	5242	2494150		2494177	Loxia scotica	Loxia scotica Hartert, 1904	Loxia scotica		DWC_ARCHIVE	2023-01-24T15:16:23.452Z	2022-03-02T17:41:33.833Z	false		GBR	United Kingdom	GBR.3_1	Scotland	GBR.3.17_1	Highland	GBR.3.17.1_1	Highland	LC	
977697135																										OBS227271458										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS227271458	OBS227271458		obsr197067													PRESENT																			2012-06-30T00:00:00				2012	6	30												EUROPE				GB	Scotland	Highland		Abernethy Forest									57.24098	-3.672695																																																	avibase-74FCC44D	Loxia scotica Hartert, 1904								Animalia	Chordata	Aves	Passeriformes	Fringillidae		Loxia	Loxia			scotica			SPECIES		Scottish Crossbill		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	GB	2023-01-24T14:57:19.900Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2494177	2494177	1	44	212	729	5242	2494150		2494177	Loxia scotica	Loxia scotica Hartert, 1904	Loxia scotica		DWC_ARCHIVE	2023-01-24T14:57:19.900Z	2022-03-02T17:41:33.833Z	false		GBR	United Kingdom	GBR.3_1	Scotland	GBR.3.17_1	Highland	GBR.3.17.1_1	Highland	LC	
977694425																										OBS227271002										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS227271002	OBS227271002		obsr197067													PRESENT																			2012-06-28T00:00:00				2012	6	28												EUROPE				GB	Scotland	Highland		Loch Garten RSPB Reserve									57.243744	-3.695462																																																	avibase-74FCC44D	Loxia scotica Hartert, 1904								Animalia	Chordata	Aves	Passeriformes	Fringillidae		Loxia	Loxia			scotica			SPECIES		Scottish Crossbill		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	GB	2023-01-24T14:58:55.504Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2494177	2494177	1	44	212	729	5242	2494150		2494177	Loxia scotica	Loxia scotica Hartert, 1904	Loxia scotica		DWC_ARCHIVE	2023-01-24T14:58:55.504Z	2022-03-02T17:41:33.833Z	false		GBR	United Kingdom	GBR.3_1	Scotland	GBR.3.17_1	Highland	GBR.3.17.1_1	Highland	LC	
977315222																										OBS225247327										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS225247327	OBS225247327		obsr20302		3											PRESENT																			1984-06-23T00:00:00				1984	6	23												EUROPE				GB	Scotland	Highland		Loch an Eilein, south of Aviemore, Highland, UK									57.147694	-3.822041																																																	avibase-74FCC44D	Loxia scotica Hartert, 1904								Animalia	Chordata	Aves	Passeriformes	Fringillidae		Loxia	Loxia			scotica			SPECIES		Scottish Crossbill		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	GB	2023-01-24T15:14:43.344Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2494177	2494177	1	44	212	729	5242	2494150		2494177	Loxia scotica	Loxia scotica Hartert, 1904	Loxia scotica		DWC_ARCHIVE	2023-01-24T15:14:43.344Z	2022-03-02T17:41:33.833Z	false		GBR	United Kingdom	GBR.3_1	Scotland	GBR.3.17_1	Highland	GBR.3.17.1_1	Highland	LC	
976785324																										OBS224228705										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS224228705	OBS224228705		obsr20302		7											PRESENT																			1984-06-22T00:00:00				1984	6	22												EUROPE				GB	Scotland	Highland		Loch Garten RSPB Reserve									57.243744	-3.695462																																																	avibase-74FCC44D	Loxia scotica Hartert, 1904								Animalia	Chordata	Aves	Passeriformes	Fringillidae		Loxia	Loxia			scotica			SPECIES		Scottish Crossbill		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	GB	2023-01-24T15:16:31.474Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2494177	2494177	1	44	212	729	5242	2494150		2494177	Loxia scotica	Loxia scotica Hartert, 1904	Loxia scotica		DWC_ARCHIVE	2023-01-24T15:16:31.474Z	2022-03-02T17:41:33.833Z	false		GBR	United Kingdom	GBR.3_1	Scotland	GBR.3.17_1	Highland	GBR.3.17.1_1	Highland	LC	
976773966																										OBS224230644										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS224230644	OBS224230644		obsr20302		4											PRESENT																			1984-06-22T00:00:00				1984	6	22												EUROPE				GB	Scotland	Highland		Abernethy Forest									57.24098	-3.672695																																																	avibase-74FCC44D	Loxia scotica Hartert, 1904								Animalia	Chordata	Aves	Passeriformes	Fringillidae		Loxia	Loxia			scotica			SPECIES		Scottish Crossbill		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	GB	2023-01-24T14:58:57.841Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2494177	2494177	1	44	212	729	5242	2494150		2494177	Loxia scotica	Loxia scotica Hartert, 1904	Loxia scotica		DWC_ARCHIVE	2023-01-24T14:58:57.841Z	2022-03-02T17:41:33.833Z	false		GBR	United Kingdom	GBR.3_1	Scotland	GBR.3.17_1	Highland	GBR.3.17.1_1	Highland	LC	
968425720																										OBS214046958										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS214046958	OBS214046958		obsr43068		18											PRESENT																			1993-03-26T00:00:00				1993	3	26												EUROPE				GB	Scotland	Highland		Grantown-on-Spey									57.330963	-3.596791																																																	avibase-74FCC44D	Loxia scotica Hartert, 1904								Animalia	Chordata	Aves	Passeriformes	Fringillidae		Loxia	Loxia			scotica			SPECIES		Scottish Crossbill		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	GB	2023-01-24T15:12:20.348Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2494177	2494177	1	44	212	729	5242	2494150		2494177	Loxia scotica	Loxia scotica Hartert, 1904	Loxia scotica		DWC_ARCHIVE	2023-01-24T15:12:20.348Z	2022-03-02T17:41:33.833Z	false		GBR	United Kingdom	GBR.3_1	Scotland	GBR.3.17_1	Highland	GBR.3.17.1_1	Highland	LC	
968317163																										OBS213996387										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS213996387	OBS213996387		obsr233840		2											PRESENT																			2013-10-05T00:00:00				2013	10	5												EUROPE				GB	Scotland	Highland		Grantown-on-Spey									57.31466	-3.592529																																																	avibase-74FCC44D	Loxia scotica Hartert, 1904								Animalia	Chordata	Aves	Passeriformes	Fringillidae		Loxia	Loxia			scotica			SPECIES		Scottish Crossbill		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	GB	2023-01-24T14:58:26.634Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2494177	2494177	1	44	212	729	5242	2494150		2494177	Loxia scotica	Loxia scotica Hartert, 1904	Loxia scotica		DWC_ARCHIVE	2023-01-24T14:58:26.634Z	2022-03-02T17:41:33.833Z	false		GBR	United Kingdom	GBR.3_1	Scotland	GBR.3.17_1	Highland	GBR.3.17.1_1	Highland	LC	
